ID   Name               Price(USD) Type         Weight(kg) FileSize(MB)
P101 Laptop             850         Physical    2.1         -
P102 Smartphone         450         Physical    0.18        -
P103 Keyboard           35          Physical    0.75        -
P104 WirelessMouse      20          Physical    0.12        -
P105 Monitor24inch      180         Physical    3.8         -
P106 ExternalHDD1TB     70          Physical    25          -
P107 Printer            120         Physical    5.5         -       
P108 GamingChair        220         Physical    15.0        -
P109 Webcam             40          Physical    0.20        -
P110 BluetoothSpeaker   55          Physical    0.65        -
V201 AntivirusSoftware  25          Virtual     -           150
V202 PhotoEditingApp    60          Virtual     -           320
V203 VideoGame          45          Virtual     -           25000
V204 EBookCppGuide      10          Virtual     -           12
V205 MovieCollection    30          Virtual     -           8500
V206 MusicAlbum         8           Virtual     -           120
V207 OperatingSystem    100         Virtual     -           4500
V208 IDESoftware        0           Virtual     -           950
V209 OnlineCourse       75          Virtual     -           5000
V210 CloudBackupPackage 15          Virtual     -           250
